ESTADOS,inicio,varinicio,varfim,id,inteiro,real,literal,leia,escreva,lit,num,rcb,(,),opr,opm,;,se,entao,fimse,fim,EOF
0,S2,ET0,ET0,ET0,ET0,ET0,ET0,ET0,ET0,ET0,ET0,ET0,ET0,ET0,ET0,ET0,ET0,ET0,ET0,ET0,ET0,ET0
1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ET1,ACC
2,ET2,S4,ET2,ET2,ET2,ET2,ET2,ET2,ET2,ET2,ET2,ET2,ET2,ET2,ET2,ET2,ET2,ET2,ET2,ET2,ET2,ET2
3,ET3,ET3,ET3,S30,ET3,ET3,ET3,S21,S24,ET3,ET3,ET3,ET3,ET3,ET3,ET3,ET3,S40,ET3,ET3,S20,ET3
4,ET4,ET4,S7,S8,ET4,ET4,ET4,ET4,ET4,ET4,ET4,ET4,ET4,ET4,ET4,ET4,ET4,ET4,ET4,ET4,ET4,ET4
5,ET5,ET5,ET5,R3,ET5,ET5,ET5,R3,R3,ET5,ET5,ET5,ET5,ET5,ET5,ET5,ET5,R3,ET5,ET5,R3,ET5
6,ET6,ET6,S7,S08,ET6,ET6,ET6,ET6,ET6,ET6,ET6,ET6,ET6,ET6,ET6,ET6,ET6,ET6,ET6,ET6,ET6,ET6
7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,S10,ET7,ET7,ET7,ET7,ET7
8,ET8,ET8,ET8,ET8,S13,S14,S15,ET8,ET8,ET8,ET8,ET8,ET8,ET8,ET8,ET8,ET8,ET8,ET8,ET8,ET8,ET8
9,ET5,ET5,ET5,R4,ET5,ET5,ET5,R4,R4,ET5,ET5,ET5,ET5,ET5,ET5,ET5,ET5,R4,ET5,ET5,R4,ET5
10,ET5,ET5,ET5,R5,ET5,ET5,ET5,R5,R5,ET5,ET5,ET5,ET5,ET5,ET5,ET5,ET5,R5,ET5,ET5,R5,ET5
11,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,S12,ET7,ET7,ET7,ET7,ET7
12,ET12,ET12,R6,R6,ET12,ET12,ET12,ET12,ET12,ET12,ET12,ET12,ET12,ET12,ET12,ET12,ET12,ET12,ET12,ET12,ET12,ET12
13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,R7,ET13,ET13,ET13,ET13,ET13
14,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,R8,ET13,ET13,ET13,ET13,ET13
15,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,ET13,R9,ET13,ET13,ET13,ET13,ET13
16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,R2
17,ET3,ET3,ET3,S30,ET3,ET3,ET3,S21,S24,ET3,ET3,ET3,ET3,ET3,ET3,ET3,ET3,S40,ET3,ET3,S20,ET3
18,ET3,ET3,ET3,S30,ET3,ET3,ET3,S21,S24,ET3,ET3,ET3,ET3,ET3,ET3,ET3,ET3,S40,ET3,ET3,S20,ET3
19,ET3,ET3,ET3,S30,ET3,ET3,ET3,S21,S24,ET3,ET3,ET3,ET3,ET3,ET3,ET3,ET3,S40,ET3,ET3,S20,ET3
20,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,ET16,R30
21,ET21,ET21,ET21,S22,ET21,ET21,ET21,ET21,ET21,ET21,ET21,ET21,ET21,ET21,ET21,ET21,ET21,ET21,ET21,ET21,ET21,ET21
22,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,ET7,S23,ET7,ET7,ET7,ET7,ET7
